Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
16.35,0,0.090486828,9,195.211,1,1987,2.0,2,1,2553.343
17.6,0,0.056245075,5,43.3454,1,1987,2.0,2,1,1006.6896
7.975,0,0.014618973,0,85.225,1,1987,2.0,2,1,1081.925
15.85,0,0.043479126,15,36.7164,2,2007,,1,1,308.9312
15.7,0,0.045166237,5,178.666,1,1987,2.0,2,1,2516.724
8.985,1,0.057827101,5,128.831,6,1997,0.0,0,1,1428.141
20.35,0,0.089394766,4,260.1594,1,1987,2.0,2,1,2093.2752
6.59,0,0.10550944,6,85.6908,1,1987,2.0,2,1,1929.4884
19.85,0,0.005234153,4,264.0884,4,2004,0.0,1,1,5829.7448
16.85,0,0.036390174,13,91.4488,6,1997,0.0,0,1,2082.6224
16.75,0,0.081252534,6,256.4988,1,1987,2.0,2,1,7452.9652
17.6,1,0.076552407,10,110.5202,2,2007,,1,1,450.0808
7.905,0,0.016758569,13,250.4408,0,1998,,2,0,500.6816
7.785,1,0.038288087,6,103.1964,3,2009,1.0,2,2,736.3748
7.825,0,0.186032678,9,253.0698,4,2004,0.0,1,1,6088.0752
20.75,0,0.021370201,14,153.0024,2,2007,,1,1,2277.036
6.26,1,0.009866049,10,151.1366,4,2004,0.0,1,1,2267.049
18.2,0,0.082551042,6,147.3734,0,1998,,2,0,296.9468
13.0,0,0.099729888,9,46.306,3,2009,1.0,2,2,559.272
20.25,1,0.018801549,6,222.1772,4,2004,0.0,1,1,5559.43
8.695,0,0.119721451,9,95.5094,7,1999,1.0,0,1,1237.7222
7.27,0,0.071222087,14,113.5518,5,2002,,1,1,569.259
12.85,0,0.033287541,6,198.4768,5,2002,,1,1,1379.5376
7.075,0,0.05858462,4,142.7128,3,2009,1.0,2,2,1869.5664
8.195,0,0.031452265,0,94.3462,7,1999,1.0,0,1,925.462
7.09,0,0.00721395,0,47.9034,4,2004,0.0,1,1,583.2408
6.095,0,0.081196619,11,141.4154,6,1997,0.0,0,1,1418.154
19.35,1,0.049916364,6,80.2644,2,2007,,1,1,942.7728
6.15,0,0.04627095,0,99.3384,6,1997,0.0,0,1,2364.9216
17.7,0,0.012540003,9,167.0474,4,2004,0.0,1,1,5895.659
17.85,0,0.147023834,1,93.7436,3,2009,1.0,2,2,1134.5232
9.395,0,0.159657596,14,224.972,5,2002,,1,1,7696.648
15.75,0,0.141398626,7,250.5382,2,2007,,1,1,2775.7202
7.475,0,0.148821808,6,241.2854,5,2002,,1,1,5317.0788
7.075,0,0.0,5,98.0068,3,2009,1.0,2,2,874.8612
6.445,0,0.029691762,0,92.6436,6,1997,0.0,0,1,1039.9796
19.1,0,0.096715523,6,235.0958,4,2004,0.0,1,1,3038.0454
20.25,1,0.014790559,4,193.6162,4,2004,0.0,1,1,3848.324
15.0,1,0.054378253,3,59.1904,6,1997,0.0,0,1,527.3136
6.67,1,0.123428594,13,89.1514,6,1997,0.0,0,1,2390.8878
16.7,1,0.052368061,5,112.7176,1,1987,2.0,2,1,801.6232
7.07,0,0.093861144,13,115.5834,5,2002,,1,1,1267.0174
6.48,0,0.033968647,13,148.0076,5,2002,,1,1,886.8456
19.0,1,0.173154079,6,228.272,0,1998,,2,0,452.744
13.35,0,0.139735226,5,147.5392,5,2002,,1,1,3877.6192
9.695,1,0.12848269,0,223.9404,7,1999,1.0,0,1,4950.8888
15.0,0,0.049357077,14,62.6168,2,2007,,1,1,958.752
11.15,1,0.008326735,4,149.9708,2,2007,,1,1,1956.1204
20.85,0,0.021362955,6,103.2306,7,1999,1.0,0,1,2404.2038
9.8,0,0.151420934,11,194.3478,0,1998,,2,0,387.4956
16.35,0,0.032511818,10,165.0842,1,1987,2.0,2,1,994.7052
9.6,1,0.022323658,1,101.299,5,2002,,1,1,1754.383
13.35,0,0.048124443,1,216.7166,5,2002,,1,1,3918.8988
20.7,0,0.09261307,4,76.367,1,1987,2.0,2,1,306.268
16.2,0,0.035984104,6,260.6278,5,2002,,1,1,4425.5726
5.5,0,0.04709821,11,101.3016,6,1997,0.0,0,1,3339.6528
15.1,1,0.087584126,6,221.7456,5,2002,,1,1,6410.3224
15.7,1,0.038078899,5,122.9046,2,2007,,1,1,1992.0736
7.895,1,0.095102092,2,104.4332,2,2007,,1,1,2870.9296
17.35,1,0.062799379,0,88.183,1,1987,2.0,2,1,539.298
7.285,0,0.031125709,9,174.3054,1,1987,2.0,2,1,4377.635
20.25,0,0.026005891,9,180.9976,5,2002,,1,1,2716.464
15.85,0,0.107765165,14,59.5904,7,1999,1.0,0,1,703.0848
6.17,0,0.010647477,10,66.3826,7,1999,1.0,0,1,1937.478
19.5,0,0.015749341,9,182.2608,7,1999,1.0,0,1,3307.6944
19.2,0,0.077628053,9,197.611,7,1999,1.0,0,1,3142.576
16.7,0,0.0,3,181.2292,3,2009,1.0,2,2,2554.0088
20.85,1,0.056695731,1,104.0648,3,2009,1.0,2,2,1869.5664
14.5,1,0.063993068,1,260.4594,5,2002,,1,1,5494.8474
11.395,1,0.069529262,10,233.1616,1,1987,2.0,2,1,6093.4016
7.97,0,0.034452949,14,174.0422,6,1997,0.0,0,1,2586.633
7.71,1,0.06670068,13,55.2956,7,1999,1.0,0,1,1255.6988
19.25,1,0.034699737,3,141.7496,6,1997,0.0,0,1,4093.3384
7.075,0,0.058346939,4,142.2128,6,1997,0.0,0,1,3163.8816
11.6,1,0.078929571,5,79.9276,6,1997,0.0,0,1,1137.1864
12.1,0,0.016895293,7,178.566,3,2009,1.0,2,2,898.83
10.0,0,0.073379745,8,118.244,6,1997,0.0,0,1,2756.412
14.35,0,0.08075758,0,81.896,5,2002,,1,1,878.856
10.395,0,0.112271498,13,58.222,7,1999,1.0,0,1,659.142
8.1,0,0.127929521,6,211.4902,1,1987,2.0,2,1,3610.6334
8.05,1,0.07838564,6,256.4646,4,2004,0.0,1,1,5153.292
9.195,1,0.078502143,10,108.7596,2,2007,,1,1,2588.6304
20.7,1,0.047684831,4,212.5876,3,2009,1.0,2,2,1286.3256
15.7,1,0.123159656,6,110.1544,2,2007,,1,1,1230.3984
16.5,0,0.036715907,9,180.0318,5,2002,,1,1,3969.4996
9.0,0,0.065236932,13,176.437,4,2004,0.0,1,1,7763.228
6.785,1,0.041947547,10,41.2112,1,1987,2.0,2,1,809.6128
19.5,0,0.082888496,3,178.6002,3,2009,1.0,2,2,1253.7014
7.575,0,0.055390121,4,195.2768,6,1997,0.0,0,1,5715.2272
18.2,1,0.012194556,6,57.7904,1,1987,2.0,2,1,1464.76
16.75,0,0.060495243,4,169.8106,1,1987,2.0,2,1,3251.1014
7.47,1,0.0,5,214.3218,4,2004,0.0,1,1,4274.436
13.85,1,0.085622362,10,119.4124,3,2009,1.0,2,2,2251.7356
6.635,1,0.046350909,5,37.4506,2,2007,,1,1,1176.4686
6.11,1,0.102920886,6,130.4968,6,1997,0.0,0,1,3523.4136
15.25,0,0.026604781,13,86.2198,4,2004,0.0,1,1,610.5386
15.85,0,0.0,3,96.4094,4,2004,0.0,1,1,1237.7222
15.2,0,0.031860325,13,235.1248,0,1998,,2,0,474.0496
20.75,0,0.021250002,14,150.5024,6,1997,0.0,0,1,2580.6408
10.195,0,0.159936948,5,143.2154,6,1997,0.0,0,1,2552.6772
7.605,0,0.129503146,6,164.021,5,2002,,1,1,3914.904
18.0,1,0.142688846,6,88.5514,6,1997,0.0,0,1,796.9626
18.35,0,0.089163056,9,191.3504,5,2002,,1,1,3259.7568
6.59,0,0.105761491,6,84.8908,7,1999,1.0,0,1,1677.816
13.8,1,0.056960814,13,230.0984,7,1999,1.0,0,1,3707.1744
21.2,1,0.00704098,15,173.5738,6,1997,0.0,0,1,2954.1546
10.5,1,0.011026594,13,166.4842,3,2009,1.0,2,2,2652.5472
8.97,0,0.093203257,9,52.7956,5,2002,,1,1,1037.3164
10.6,0,0.035264298,8,86.1224,5,2002,,1,1,426.112
13.65,0,0.015908424,1,231.1668,4,2004,0.0,1,1,6911.004
19.0,0,0.017719277,8,211.0244,6,1997,0.0,0,1,3811.0392
6.865,0,0.056919038,13,212.8218,7,1999,1.0,0,1,5770.4886
10.8,1,0.048143292,0,40.2138,6,1997,0.0,0,1,690.4346
16.7,0,0.022047313,4,110.2886,1,1987,2.0,2,1,1890.2062
15.15,0,0.027779254,0,150.1708,6,1997,0.0,0,1,1504.708
10.5,0,0.0,9,238.3248,0,1998,,2,0,711.0744
17.6,0,0.008033611,4,174.2422,3,2009,1.0,2,2,4311.055
19.35,0,0.033088472,10,175.4738,6,1997,0.0,0,1,521.3214
15.7,0,0.160663021,9,59.4562,6,1997,0.0,0,1,829.5868
18.1,0,0.178975721,4,155.5288,2,2007,,1,1,1571.288
10.195,1,0.017627888,15,239.6538,4,2004,0.0,1,1,2403.538
6.655,0,0.016993225,6,211.0586,5,2002,,1,1,844.2344
19.0,0,0.027139013,9,127.3336,2,2007,,1,1,2940.1728
7.075,0,0.03777249,5,98.0068,0,1998,,2,0,291.6204
13.15,0,0.036746479,5,181.2976,5,2002,,1,1,3259.7568
20.1,1,0.022460102,6,226.8036,7,1999,1.0,0,1,3415.554
20.35,1,0.0,4,256.7672,3,2009,1.0,2,2,5624.6784
18.85,0,0.05213575,8,190.1846,7,1999,1.0,0,1,6687.961
16.35,1,0.062508438,6,227.1062,7,1999,1.0,0,1,5642.655
11.3,0,0.007309544,10,196.2426,3,2009,1.0,2,2,4943.565
17.5,0,0.015623754,6,182.6266,3,2009,1.0,2,2,3135.2522
18.0,1,0.142978223,6,87.4514,5,2002,,1,1,796.9626
7.935,0,0.017191055,4,51.535,5,2002,,1,1,848.895
20.25,1,0.011995271,3,184.5924,6,1997,0.0,0,1,4997.4948
15.5,1,0.15717236,13,149.1418,7,1999,1.0,0,1,588.5672
15.35,0,0.020310046,14,218.0508,1,1987,2.0,2,1,3038.7112
10.1,0,0.054630834,8,200.2084,6,1997,0.0,0,1,1587.2672
16.7,1,0.052517969,5,115.4176,5,2002,,1,1,687.1056
20.7,1,0.047565208,4,213.4876,7,1999,1.0,0,1,1929.4884
16.0,0,0.060797393,15,223.8404,1,1987,2.0,2,1,3600.6464
14.0,0,0.041291169,15,180.7634,6,1997,0.0,0,1,2181.1608
12.85,0,0.022604051,6,181.4318,6,1997,0.0,0,1,3428.2042
20.85,1,0.056580228,1,105.6648,5,2002,,1,1,623.1888
12.35,0,0.164196823,9,120.5124,7,1999,1.0,0,1,2133.2232
6.85,0,0.022976497,5,261.6594,3,2009,1.0,2,2,3401.5722
10.3,0,0.027310252,6,101.0042,4,2004,0.0,1,1,1289.6546
8.775,0,0.0,4,45.9428,1,1987,2.0,2,1,790.9704
18.85,0,0.01619866,8,129.2626,2,2007,,1,1,3147.9024
14.85,0,0.09344495,0,141.0812,4,2004,0.0,1,1,1139.8496
20.5,1,0.019199733,5,84.3592,6,1997,0.0,0,1,1816.3024
7.84,1,0.154120252,3,51.935,3,2009,1.0,2,2,199.74
18.25,0,0.089004389,5,196.7452,5,2002,,1,1,978.726
10.3,1,0.011117041,13,85.854,1,1987,2.0,2,1,2683.174
12.5,0,0.103422709,9,169.9448,4,2004,0.0,1,1,2897.5616
20.25,1,0.102723919,3,93.212,6,1997,0.0,0,1,1957.452
15.0,0,0.044871033,8,140.3838,1,1987,2.0,2,1,2528.7084
8.325,0,0.029760052,6,38.7138,1,1987,2.0,2,1,284.2966
15.85,0,0.078999287,3,38.6506,2,2007,,1,1,759.012
13.1,0,0.020870744,4,117.3782,6,1997,0.0,0,1,1787.673
6.26,0,0.031599715,9,111.3228,2,2007,,1,1,2431.5016
17.25,0,0.042413704,4,173.1764,3,2009,1.0,2,2,4466.1864
5.765,0,0.072284689,5,119.9098,4,2004,0.0,1,1,2048.6666
13.6,0,0.009984847,9,175.437,1,1987,2.0,2,1,1940.807
10.5,0,0.052852621,5,88.783,2,2007,,1,1,2067.309
7.975,0,0.014660821,0,85.125,5,2002,,1,1,2663.2
12.65,1,0.076354362,5,192.1846,3,2009,1.0,2,2,1146.5076
12.3,0,0.076709639,9,247.846,5,2002,,1,1,3448.844
5.985,0,0.005677876,0,184.8924,5,2002,,1,1,1665.8316
